ObjID,RA,Dec,z,Specflag,BPTflag,MIRflag,FIRSTflag,SEDflag,S22_unWISE,E22_unWISE,S60_IRAS,E60_IRAS,S100_IRAS,E100_IRAS,S100_HATLAS,E100_HATLAS,S160_HATLAS,E160_HATLAS,S250_HATLAS,E250_HATLAS,S350_HATLAS,E350_HATLAS,S500_HATLAS,E500_HATLAS,S100_PPSC,E100_PPSC,S160_PPSC,E160_PPSC,S250_SPSC,E250_SPSC,S350_SPSC,E350_SPSC,S500_SPSC,E500_SPSC,S1.4,E1.4,logL1.4,logdL1.4,logLTIR,logLFIR,logdLTIR_upp,logdLTIR_low,qTIR,qFIR,dqTIR_upp,dqTIR_low
1237655747781132310,267.50950516295717,53.98824249017009,0.049522,0.0,,0.0,0.0,1.0,0.03588222285973914,5.35775314748906E-4,0.498,0.027666666666666666,1.078,0.1400000034679067,,,,,,,,,,,,,,,,,,,,,0.0069220000878,9.50999965426E-4,22.5970384752,0.0596264056284,10.8874635813,10.566814534338313,0.0296966211926,0.0298357641387,2.2993657674770844,1.978716720515397,0.062223832764364495,0.060208785771426854
1237660671430230194,158.93066,12.255033,0.04953072,1.0,1.0,0.0,1.0,1.0,0.04332771853854714,0.001216669062298307,0.269,0.04014925373134329,0.658,0.13708332788613128,,,,,,,,,,,,,,,,,,,,,0.00302132684737,1.64257187862E-4,22.2371618394,0.0235948055716,10.694531238,10.434021651691916,0.0526206254425,0.0422901026396,2.4663100599770864,2.2058004736690044,0.031229412468030127,0.02820064030885039
1237680243596984559,357.9872435750874,-6.553893373396433,0.024949,0.0,,0.0,1.0,0.0,0.04795264915893851,0.001499668175640077,0.411,0.04467391304347826,1.177,0.1337499971010469,,,,,,,,,,,,,,,0.5123,0.011100001,0.2527,0.007300000190734863,0.1027,0.0093,0.00454699993134,4.59000002593E-4,21.8064660058,0.0438104253647,10.3854729352,10.079899313994796,0.664221580355,0.0143046719814,2.587947590777084,2.282373969571882,0.21223673699384316,0.1450472745137037
1237678777400754277,351.68154445880407,4.709936904789437,0.038686,0.0,,0.0,1.0,1.0,0.1499193513916882,0.001203567327718716,0.942,0.04485714285714285,1.144,0.208,,,,,,,,,,,,,,,,,,,,,0.00563500029966,4.44999983301E-4,22.2877265326,0.0342732888168,10.8554771297,10.57717520174911,0.0176083406783,0.0102718861392,2.576691258477087,2.298389330526195,0.0358608734946424,0.03399658932036376
1237667911663157350,175.41373,24.800504,0.0123417,1.0,1.0,0.0,1.0,1.0,0.07580478410898807,0.0013871963770042644,0.696,0.04971428571428571,1.883,0.1883,,,,,,,,,,,,,,,,,,,,,0.00317499996163,4.25000005635E-4,21.0324843772,0.0580944896613,9.92340490322,9.63101753184688,0.0493492066551,0.0332818022832,2.899861187397086,2.6074738160239654,0.059975294269488,0.057837558328948546
1237658491745861681,187.85352,9.1948002,0.03294187,1.0,0.0,0.0,1.0,1.0,0.07357147758857083,7.664275333507119E-4,0.347,0.043375,0.696,,,,,,,,,,,,,,,,0.1417,0.0027,0.0536,0.0025,,,0.00239015882835,1.48945880937E-4,21.772702146,0.0270452789832,10.4163369146,10.140748391591954,0.0306549377043,0.0167401993597,2.6525754299770874,2.376986906969041,0.029773584589261937,0.026379999118038455
1237680070174310653,17.278701117638605,24.463663218030813,0.137097,0.0,,1.0,0.0,1.0,0.05819254633583003,6.2257381119914E-4,0.342,0.04384615384615385,0.678,0.17384614959506134,,,,,,,,,,,,,,,,,,,,,0.00433699972928,4.95999993291E-4,23.3195525302,0.0496343118574,11.6035967029,11.341766320345815,0.110625519307,0.042337079765,2.2929848340770853,2.0311544515229016,0.05745792555418383,0.06339680054903107
1237665442051326062,191.40632,29.870985,0.048566867,1.0,1.0,0.0,1.0,0.0,0.05505698844811546,9.046078045082922E-4,0.481,0.04008333333333333,1.126,0.12373625854927067,,,,,,,,,,,,,,,0.7615,0.0108,0.32980000000000004,0.007900000095367432,0.1172,0.0093,0.00542600033805,4.4600002002E-4,22.4738906663,0.0356734236324,11.0144829394,10.708371689227668,0.433751509646,0.00574615127302,2.549532934477085,2.243421684304753,0.1424654004095829,0.09167722140821066
1237659145094365212,208.42369,57.522246,0.02598638,1.0,0.0,0.0,1.0,1.0,0.049245825403349604,6.266732522829548E-4,0.652,0.02834782608695652,1.279,0.10658333333333332,,,,,,,,,,,,,,,,,,,,,0.00456599984318,4.65999997687E-4,21.8442031403,0.0442934748012,10.4357358502,10.1283554535062,0.0246614898426,0.0228477243154,2.6004733712770864,2.2930929745832884,0.045831567700417075,0.04709436774457165
1237657775004713110,131.99648,38.069809,0.02665227,1.0,0.0,0.0,1.0,1.0,0.06589776649845054,0.0011744692870409735,0.622,0.036588235294117644,1.571,0.13091666666666665,,,,,,,,,,,,,,,,,,,,,0.00547599978745,4.32000000728E-4,21.9454541295,0.0342381314086,10.5124410284,10.224424766608573,0.0285652939315,0.0249245788088,2.575927560277087,2.2879112984856604,0.03572579596989023,0.03563174161898397
1237673704507310434,123.94948,41.706318,0.1577586,1.0,4.0,0.0,1.0,1.0,0.020186344298591497,9.003332859685788E-4,0.336,0.037333333333333336,0.678,0.1473913074035501,,,,,,,,,,,,,,,,,,,,,0.00215825624764,1.3854217832E-4,23.1473126371,0.027859205994,11.6465988929,11.322651286371345,0.0427433648575,0.0437078886502,2.508226917177087,2.1842793106484315,0.032962285460230056,0.036511610827532515
1237665367430725658,161.35148,29.218825,0.021209773,1.0,0.0,0.0,1.0,1.0,0.07971606745969073,9.670140232272996E-4,0.678,0.03766666666666667,1.324,0.15761905477701163,,,,,,,,,,,,,,,,,,,,,0.00344999996014,4.11000015447E-4,21.5435691538,0.0517026112362,10.2612336107,9.998295582202728,0.0292938572087,0.0246671389436,2.726605118277085,2.4636670897798147,0.05294968929466659,0.05355709713584256
1237680483565568127,8.220695309924736,30.6510907105565,0.025345,0.0,,0.0,0.0,1.0,0.06725999669801092,8.311877676052255E-4,0.507,0.04225,1.033,0.17810344241887313,,,,,,,,,,,,,,,,,,,,,0.00322000007145,4.13000001572E-4,21.6704817832,0.055665216368,10.3022390583,10.042207388327984,0.0404195211853,0.0327138009596,2.6406979364770855,2.38066626650507,0.05582235836280969,0.058993859059493836
1237658203955069098,128.31052,32.583324,0.056010313,1.0,4.0,0.0,1.0,1.0,0.05140337430974566,0.0011517793467108967,0.371,0.03747474747474747,0.8,0.1403508818894397,,,,,,,,,,,,,,,,,,,,,0.00673800008371,4.76000015624E-4,22.6955177342,0.0306595435165,10.878051417,10.61734058754127,0.0417365740944,0.0353162354354,2.191474344177088,1.9307635147183575,0.03502291953635872,0.0368315417074383
1237668272439886055,213.38677,18.091859,0.1122099,1.0,1.0,0.0,1.0,1.0,0.05076556536817447,6.322742128739676E-4,0.682,0.040117647058823536,1.061,0.14534246195590758,,,,,,,,,,,,,,,,,,,,,0.00351900001988,4.9200002104E-4,23.0436692877,0.0606786041277,11.6669363158,11.370679586608608,0.0376470851158,0.033200757749,2.632207689477088,2.3359509602856967,0.05786764869351391,0.06326474828069895
1237658201276219603,136.97781,39.40551,0.094186,1.0,2.0,0.0,1.0,1.0,0.009436164258073431,0.0013191994156895753,0.181,0.0348076923076923,0.525,,,,,,,,,,,,,,,,,,,,,,0.00258800014853,4.9200002104E-4,22.7498020159,0.0825069539708,10.9126944005,10.598311624311497,0.0981336405166,0.0933169160136,2.1718330459770883,1.8574502697885862,0.09009812553265473,0.08320579408530238
1237678880473219348,335.97883602075837,-2.392567129902481,0.072172,0.0,,0.0,0.0,1.0,0.11427928838824732,0.0011685730205945595,0.79,0.049375,1.248,0.24470588692881803,,,,,,,,,,,,,,,,,,,,,0.00356100010686,4.4600002002E-4,22.6466896463,0.0543566422017,11.3329942895,11.06883611845565,0.790897856607,0.0256068744006,2.695245304577085,2.431087133532735,0.26158415615680264,0.15714544441388467
1237646586635420236,78.70505804573429,-0.18993602989960548,0.032864,0.0,,0.0,0.0,1.0,0.09481969079781989,0.0010024005360249036,0.572,0.044,1.597,,,,,,,,,,,,,,,,,,,,,,0.00328099983744,4.93999978062E-4,21.9081858174,0.0653447123136,10.5240635856,10.248277681337399,0.975465565689,0.0181050221108,2.624818429577086,2.3490325253144846,0.2958830352228987,0.20395317834152626
